Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1988-01-08,0.3121274731019729,0.3173885259405905,0.27705762709762266,0.28056445717811584,486080000,0.0,0.0
1988-01-11,0.2805644184279899,0.29985274210035057,0.2788109919238615,0.2980993390083313,404320000,0.0,0.0
1988-01-12,0.3016070767542563,0.3051139076542502,0.27881109558633926,0.29459261894226074,400960000,0.0,0.0
1988-01-13,0.2945925162380049,0.30336037473718613,0.28845557015557827,0.29634591937065125,211680000,0.0,0.0
1988-01-14,0.2998527490480536,0.30073025833216177,0.2945925162380049,0.29634591937065125,132160000,0.0,0.0
1988-01-15,0.3051139221215566,0.31563518792030537,0.2980994639769629,0.3007303774356842,343840000,0.0,0.0
1988-01-18,0.30160701123532263,0.30160701123532263,0.294592554947097,0.29985278844833374,125440000,0.0,0.0
1988-01-19,0.2963459583101383,0.30336041459836394,0.2902090114213245,0.29985278844833374,274400000,0.0,0.0
1988-01-20,0.3016069172454348,0.3016069172454348,0.26828968839790485,0.27881094813346863,680960000,0.0,0.0
1988-01-21,0.28407111844530564,0.28582454429412113,0.27618077236193694,0.28144100308418274,493920000,0.0,0.0
1988-01-22,0.28407122201594737,0.28582464850405154,0.268289728083959,0.27530336380004883,445760000,0.0,0.0
1988-01-25,0.27705754750402073,0.2910856363956875,0.27705754750402073,0.2867013216018677,200480000,0.0,0.0
1988-01-26,0.2858246062241903,0.287578009040818,0.27530332307652106,0.27881094813346863,143360000,0.0,0.0
1988-01-27,0.28231777717882944,0.2840711799954571,0.2717964940311602,0.27881094813346863,258720000,0.0,0.0
1988-01-28,0.280564441410333,0.2910857036602245,0.27881101476257314,0.2893323004245758,232960000,0.0,0.0
1988-01-29,0.2910855710506439,0.29283899689959714,0.28231771603076455,0.2910855710506439,265440000,0.0,0.0
1988-02-01,0.2928391695022583,0.2980994033253575,0.2902090291785945,0.2928391695022583,199360000,0.0,0.0
1988-02-02,0.2910857036602245,0.2937158202197532,0.28407124788163046,0.2893323004245758,191520000,0.0,0.0
1988-02-03,0.2875780534489943,0.2893322759602035,0.27530336558922414,0.27705758810043335,226240000,0.0,0.0
