"stamp","symbol","open","high","low","close","volume"
"2022-05-26 12:25:00","AAPL","144.17","144.18","143.88","143.9842","921172"
"2022-05-26 12:30:00","AAPL","143.985","144.12","143.8","143.8706","743880"
"2022-05-26 12:35:00","AAPL","143.8799","143.969","143.76","143.94","531043"
"2022-05-26 12:40:00","AAPL","143.94","143.97","143.62","143.635","591103"
"2022-05-26 12:45:00","AAPL","143.63","143.89","143.56","143.8335","626340"
"2022-05-26 12:50:00","AAPL","143.83","143.955","143.8","143.8956","521867"
"2022-05-26 12:55:00","AAPL","143.9","144.1596","143.84","144.01","776314"
"2022-05-26 13:00:00","AAPL","144","144.17","143.93","144.095","568610"
"2022-05-26 13:05:00","AAPL","144.092","144.24","144.03","144.24","481882"
"2022-05-26 13:10:00","AAPL","144.25","144.33","143.815","143.93","795163"
"2022-05-26 13:15:00","AAPL","143.93","143.95","143.69","143.7821","633389"
"2022-05-26 13:20:00","AAPL","143.7815","143.87","143.46","143.535","663138"
"2022-05-26 13:25:00","AAPL","143.54","143.6811","143.405","143.465","604623"
"2022-05-26 13:30:00","AAPL","143.47","143.68","143.425","143.625","497095"
"2022-05-26 13:35:00","AAPL","143.62","143.62","143.38","143.4599","551316"
"2022-05-26 13:40:00","AAPL","143.48","143.62","143.38","143.545","549166"
"2022-05-26 13:45:00","AAPL","143.5496","143.8599","143.5101","143.74","675000"
"2022-05-26 13:50:00","AAPL","143.74","143.82","143.655","143.7","527009"
"2022-05-26 13:55:00","AAPL","143.699","143.8583","143.5101","143.78","672380"
"2022-05-26 14:00:00","AAPL","143.77","143.8","143.6","143.741","546046"
"2022-05-26 14:05:00","AAPL","143.75","143.7799","143.44","143.6419","603834"
"2022-05-26 14:10:00","AAPL","143.645","143.76","143.535","143.685","437320"
"2022-05-26 14:15:00","AAPL","143.675","143.8489","143.61","143.6362","528568"
"2022-05-26 14:20:00","AAPL","143.64","144.06","143.615","144.05","774030"
"2022-05-26 14:25:00","AAPL","144.0501","144.06","143.79","143.825","608405"
"2022-05-26 14:30:00","AAPL","143.83","143.89","143.75","143.79","442367"
"2022-05-26 14:35:00","AAPL","143.79","143.8368","143.575","143.75","640521"
"2022-05-26 14:40:00","AAPL","143.74","143.84","143.55","143.8001","580687"
"2022-05-26 14:45:00","AAPL","143.805","143.91","143.71","143.805","459076"
"2022-05-26 14:50:00","AAPL","143.8042","143.89","143.66","143.7385","528166"
"2022-05-26 14:55:00","AAPL","143.7327","143.95","143.7","143.9001","686212"
"2022-05-26 15:00:00","AAPL","143.9099","143.95","143.564","143.75","690750"
"2022-05-26 15:05:00","AAPL","143.76","143.98","143.701","143.94","542601"
"2022-05-26 15:10:00","AAPL","143.95","143.9763","143.74","143.8567","599418"
"2022-05-26 15:15:00","AAPL","143.86","143.8876","143.06","143.405","1373961"
"2022-05-26 15:20:00","AAPL","143.42","143.46","143.1","143.28","915664"
"2022-05-26 15:25:00","AAPL","143.29","143.39","143.115","143.2","1020789"
"2022-05-26 15:30:00","AAPL","143.19","143.38","143.12","143.32","887001"
"2022-05-26 15:35:00","AAPL","143.31","143.59","143.22","143.565","1011090"
"2022-05-26 15:40:00","AAPL","143.56","143.94","143.525","143.9289","939284"
"2022-05-26 15:45:00","AAPL","143.93","144.19","143.76","144.1799","1597368"
"2022-05-26 15:50:00","AAPL","144.18","144.34","143.81","144.015","2558089"
"2022-05-26 15:55:00","AAPL","144.02","144.1","143.66","143.75","3726595"
"2022-05-26 16:00:00","AAPL","143.74","143.82","143.52","143.54","9823455"
