,country,no_profiles,avg_profile_len,std_profile_len,female_ratio,avg_monthly_duration,total_monthly_duration,std_monthly_duration,avg_high_agreement,avg_low_agreement,avg_views,total_views,std_views,avg_questions,std_questions,total_questions,avg_answers,std_answers,total_answers,avg_comments,std_comments,total_comments,lon,lat
34,Burundi,129,8.1,11.096287045985092,0.18823529411764706,0.8948062015503878,115.43000000000002,1.399512806286974,10.736434108527131,0.10077519379844961,4.248062015503876,548,29.51139372337614,2.5555555555555554,3.4166068861341197,46.0,5.0,7.908568425793289,60.0,9.411764705882353,18.306620467502363,160.0,29.932395,-3.4264997
35,Cabo Verde,122,14.270833333333334,30.33202056624658,0.06741573033707865,1.802950819672131,219.96,2.332583318921334,8.065573770491802,0.03278688524590164,3.8360655737704916,468,9.825216886751027,3.217391304347826,3.7411291652160372,74.0,3.84,4.810405388322278,96.0,9.0,9.385906354489059,198.0,-24.0083947,16.0000552
36,Cambodia,3046,12.408463661453542,29.38762098501116,0.2495967741935484,1.587967826657928,4836.950000000049,2.2747701607745823,10.275114904793172,0.2468811556139199,10.104070912672357,30777,62.11685055599084,7.435114503816794,21.578566794455355,4870.0,7.828389830508475,20.356957817523707,3695.0,20.306010928961747,58.81761662840992,11148.0,104.869423,13.5066394
37,Cameroon,2372,19.640893470790378,32.00064399995788,0.16241849436870184,1.3102866779089462,3108.0000000000205,1.7816866798519806,8.251264755480607,0.19645868465430016,6.145446880269814,14577,36.81811404824122,4.67948717948718,10.647146080091078,2190.0,8.071593533487299,25.28617598282513,3495.0,15.79652605459057,42.39242502316269,6366.0,13.1535811,4.6125522
38,Canada,101895,17.935565682583714,37.56158758291226,0.1596625784940916,2.739922076647808,279184.3600000284,3.2716581923286547,42.78088228077923,4.283222925560626,46.395142058000886,4727433,460.96102376949256,8.267233306922135,24.34874244150726,344322.0,24.63656526300015,141.5060170207842,821999.0,52.802174757281556,499.4835908562166,2039484.0,-107.991707,61.0666922
39,Cayman Islands,93,19.06,25.795435444975887,0.07142857142857142,3.1995698924731175,297.55999999999995,3.6704092633959537,42.333333333333336,1.1935483870967742,36.12903225806452,3360,106.90133868751938,7.622222222222222,11.17279343455848,343.0,24.181818181818183,72.94452281762428,798.0,43.51428571428571,111.4058218535151,1523.0,-79.9174627243246,19.703182249999998
40,Central African Republic,6,33.0,,0.0,0.8883333333333335,5.330000000000001,1.1867841702123714,0.0,0.0,0.6666666666666666,4,1.0327955589886446,1.5,0.7071067811865476,3.0,1.0,,1.0,1.0,0.0,2.0,19.9981227,7.0323598
41,Chad,36,24.2,36.83235292812858,0.14285714285714285,0.7663888888888891,27.590000000000007,1.4764826016637895,0.8333333333333334,0.0,1.75,63,4.080441152620633,2.4,1.6465452046971292,24.0,3.25,2.6299556396765835,13.0,2.625,1.407885953173359,21.0,19.0156172,15.6134137
42,Chile,10355,12.82040717401842,25.67695781902964,0.12409216128224393,2.2650014485755494,23454.089999999815,2.7769993984809247,20.435248672139064,1.0077257363592467,15.655239014968615,162110,178.01382932478978,5.511073825503356,15.511472700941422,16423.0,12.216162420382165,60.50604869791559,30687.0,25.900533536585368,162.5122313227234,67963.0,-71.3187697,-31.7613365
43,China,85184,6.35154154529461,18.21993960587114,0.1792717086834734,1.9160725018782323,163218.71999999534,2.512813345657389,8.853939706987228,0.5051887678437266,12.57240796393689,1070968,729.829631426175,5.006375838926174,15.488877402222178,89514.0,9.40153874335959,57.17825889492859,153969.0,17.274052291759894,92.31694657730215,270218.0,104.999927,35.000074
44,Christmas Island,43,15.96551724137931,26.43115418081566,0.10526315789473684,2.058604651162791,88.52000000000001,2.679075516981957,22.88372093023256,7.8604651162790695,29.72093023255814,1278,82.79157007391838,2.8,2.6076809620810595,56.0,15.529411764705882,21.820625698690513,264.0,31.526315789473685,76.73139906413269,599.0,105.6173514897963,-10.49124145
45,Cocos (Keeling) Islands,17,7.75,7.88986691902975,0.15384615384615385,1.1617647058823528,19.749999999999996,2.1451725900673986,5.0,0.0,7.411764705882353,126,28.026904091268744,4.75,7.5,19.0,5.0,1.4142135623730951,10.0,12.333333333333334,17.897858344878397,37.0,96.8409375,-12.0728315
46,Colombia,17532,16.507262051915944,30.977391316631806,0.11749155529446322,2.0789647501711004,36448.409999999734,2.563725928081482,18.477640885238422,0.8459958932238193,12.898300250969655,226133,111.47130527896391,5.2301347817340575,16.313902218522443,25999.0,9.678974600188146,44.98870660015415,41155.0,20.39657224470364,117.73636743512652,85686.0,-72.9088133,4.099917
47,Comoros,15,51.0,90.35762281069594,0.1,0.8993333333333331,13.489999999999997,1.178082380497262,0.0,0.0,4.066666666666666,61,14.114160400446204,1.5,1.0,6.0,1.5,0.7071067811865476,3.0,1.6666666666666667,1.1547005383792517,5.0,44.2832964,-12.2045176
